employer provided mental healthcare awareness,Gender,Age,Country of residence,year
Yes,Female,25.0,United Kingdom,2018
Yes,Male,44.0,United States of America,2018
No,Other,28.0,United States of America,2018
No,Female,41.0,United States of America,2018
No,Male,38.0,United States of America,2018
Yes,Male,37.0,United States of America,2018
No,Male,33.0,United States of America,2018
Yes,Female,35.0,United States of America,2018
Yes,Male,43.0,United States of America,2018
Yes,Male,38.0,United States of America,2018
No,Male,25.0,India,2018
Yes,Male,37.0,United States of America,2018
No,Male,39.0,United States of America,2018
Yes,Male,23.0,United States of America,2018
No,Male,43.0,United States of America,2018
No,Male,29.0,United States of America,2018
Yes,Male,36.0,United States of America,2018
Yes,Male,33.0,United States of America,2018
No,Male,34.0,United States of America,2018
Yes,Male,28.0,United States of America,2018
Yes,Other,54.0,United States of America,2018
No,Male,39.0,United States of America,2018
Yes,Male,37.0,United States of America,2018
No,Male,29.0,United States of America,2018
No,Male,31.0,United States of America,2018
Yes,Male,49.0,United States of America,2018
No,Male,43.0,United States of America,2018
Yes,Other,38.0,United States of America,2018
Yes,Female,35.0,United States of America,2018
Yes,Male,23.0,United States of America,2018
No,Male,42.0,United Kingdom,2018
Yes,Male,36.0,United States of America,2018
No,Male,38.0,United States of America,2018
No,Male,41.0,United Kingdom,2018
Yes,Female,37.0,United States of America,2018
No,Male,25.0,United States of America,2018
Yes,Male,33.0,United States of America,2018
No,Female,35.0,United States of America,2018
Yes,Female,32.0,United States of America,2018
No,Female,25.0,Poland,2018
Yes,Female,40.0,United States of America,2018
Yes,Male,34.0,United States of America,2018
Yes,Male,28.0,United States of America,2018
Yes,Male,49.0,United States of America,2018
Yes,Female,33.0,United States of America,2018
Yes,Male,36.0,United States of America,2018
No,Male,39.0,United States of America,2018
No,Other,49.0,United States of America,2018
No,Male,33.0,United States of America,2018
No,Male,29.0,United Kingdom,2018
No,Male,25.0,United States of America,2018
No,Male,35.0,United States of America,2018
Yes,Male,21.0,United States of America,2018
No,Male,43.0,United States of America,2018
Yes,Female,31.0,United States of America,2018
No,Female,27.0,United States of America,2018
Yes,Male,23.0,United States of America,2018
Yes,Male,28.0,United States of America,2018
Yes,Female,37.0,United States of America,2018
No,Male,30.0,United States of America,2018
Yes,Male,30.0,United States of America,2018
No,Female,30.0,United States of America,2018
No,Male,35.0,United States of America,2018
Yes,Female,45.0,United States of America,2018
Yes,Female,31.0,Germany,2018
Yes,Female,34.0,United States of America,2018
No,Male,30.0,United States of America,2018
Yes,Female,33.0,United States of America,2018
No,Male,32.0,New Zealand,2018
No,Female,28.0,United States of America,2018
Yes,Male,28.0,United States of America,2018
Yes,Male,33.0,United States of America,2018
Yes,Female,28.0,United States of America,2018
No,Female,28.0,United States of America,2018
No,Male,43.0,United States of America,2018
No,Female,31.0,United States of America,2018
No,Female,40.0,United States of America,2018
No,Female,42.0,United States of America,2018
No,Male,38.0,United States of America,2018
Yes,Male,39.0,United States of America,2018
No,Male,21.0,United States of America,2018
Yes,Female,32.0,United States of America,2018
Yes,Male,32.0,United States of America,2018
Yes,Male,40.0,United States of America,2018
Yes,Male,28.0,United States of America,2018
Yes,Female,25.0,United States of America,2018
Yes,Male,37.0,United States of America,2018
Yes,Other,40.0,United States of America,2018
No,Female,31.0,United States of America,2018
No,Other,26.0,United States of America,2018
Yes,Female,27.0,United States of America,2018
Yes,Male,46.0,Norway,2018
Yes,Female,22.0,United States of America,2018
Yes,Male,27.0,United States of America,2018
No,Female,28.0,United States of America,2018
Yes,Female,32.0,United States of America,2018
No,Male,33.0,United States of America,2018
Yes,Female,27.0,United States of America,2018
Yes,Female,38.0,United States of America,2018
No,Female,28.0,United States of America,2018
No,Female,32.0,United States of America,2018
No,Female,30.0,United States of America,2018
Yes,Female,26.0,United States of America,2018
No,Female,41.0,United States of America,2018
No,Female,39.0,United States of America,2018
No,Other,37.0,United States of America,2018
Yes,Female,35.0,United States of America,2018
Yes,Female,33.0,Switzerland,2018
No,Male,38.0,Netherlands,2018
Yes,Female,25.0,United States of America,2018
No,Female,41.0,United States of America,2018
Yes,Female,37.0,United States of America,2018
No,Male,29.0,United States of America,2018
No,Female,45.0,United States of America,2018
No,Other,45.0,Germany,2018
No,Female,45.0,United States of America,2018
Yes,Other,30.0,United States of America,2018
No,Male,27.0,United States of America,2018
No,Male,36.0,United States of America,2018
Yes,Female,44.0,United States of America,2018
Yes,Female,35.0,United States of America,2018
No,Other,42.0,United States of America,2018
Yes,Male,26.0,United States of America,2018
Yes,Other,25.0,United States of America,2018
Yes,Female,36.0,United States of America,2018
Yes,Female,32.0,United States of America,2018
Yes,Female,29.0,United States of America,2018
No,Female,29.0,United States of America,2018
No,Male,43.0,United States of America,2018
No,Male,26.0,United Kingdom,2018
Yes,Male,46.0,United States of America,2018
Yes,Female,30.0,United States of America,2018
No,Male,36.0,United States of America,2018
Yes,Female,31.0,United States of America,2018
No,Female,33.0,United States of America,2018
Yes,Male,26.0,United States of America,2018
No,Male,37.0,United States of America,2018
Yes,Female,36.0,United States of America,2018
No,Male,45.0,United Kingdom,2018
No,Male,26.0,United States of America,2018
No,Male,26.0,Mexico,2018
No,Male,34.0,United States of America,2018
No,Female,42.0,United States of America,2018
No,Male,42.0,United States of America,2018
Yes,Male,35.0,United States of America,2018
No,Male,36.0,United States of America,2018
Yes,Male,37.0,United States of America,2018
Yes,Female,31.0,United States of America,2018
Yes,Male,27.0,United States of America,2018
No,Male,38.0,United Kingdom,2018
Yes,Other,23.0,United States of America,2018
No,Male,51.0,United States of America,2018
No,Female,19.0,United States of America,2018
Yes,Male,44.0,United States of America,2018
Yes,Male,42.0,United States of America,2018
Yes,Male,26.0,United States of America,2018
Yes,Male,38.0,United States of America,2018
Yes,Female,26.0,United States of America,2018
Yes,Male,32.0,United States of America,2018
Yes,Male,39.0,United States of America,2018
Yes,Female,44.0,United States of America,2018
Yes,Female,33.0,United States of America,2018
No,Male,42.0,Australia,2018
No,Male,28.0,Germany,2018
No,Male,31.0,France,2018
No,Male,35.0,France,2018
No,Male,30.0,United States of America,2018
Yes,Male,30.0,United States of America,2018
No,Other,40.0,United States of America,2018
No,Male,39.0,United States of America,2018
No,Male,24.0,United States of America,2018
Yes,Male,42.0,United States of America,2018
No,Male,35.0,United States of America,2018
Yes,Male,34.0,United States of America,2018
No,Female,33.0,United States of America,2018
Yes,Male,37.0,United States of America,2018
Yes,Male,36.0,United States of America,2018
No,Female,47.0,United States of America,2018
No,Male,42.0,United States of America,2018
Yes,Other,29.0,United States of America,2018
No,Male,30.0,Turkey,2018
No,Male,36.0,Poland,2018
Yes,Female,24.0,United States of America,2018
Yes,Male,41.0,United States of America,2018
Yes,Female,48.0,United States of America,2018
Yes,Male,31.0,United States of America,2018
Yes,Male,65.0,Canada,2018
No,Female,55.0,United States of America,2018
No,Female,41.0,United States of America,2018
No,Female,24.0,United States of America,2018
Yes,Male,30.0,Canada,2018
Yes,Male,37.0,United States of America,2018
No,Male,29.0,United States of America,2018
Yes,Male,41.0,United States of America,2018
No,Male,30.0,United States of America,2018
No,Male,46.0,Italy,2018
No,Male,42.0,Spain,2018
Yes,Female,29.0,United States of America,2018
Yes,Female,34.0,Australia,2018
Yes,Male,36.0,United States of America,2018
No,Male,34.0,United Kingdom,2018
Yes,Male,35.0,United States of America,2018
Yes,Male,34.0,United States of America,2018
Yes,Other,24.0,United States of America,2018
Yes,Male,37.0,United States of America,2018
No,Female,24.0,United States of America,2018
No,Male,31.0,United States of America,2018
Yes,Male,40.0,United States of America,2018
No,Male,28.0,United States of America,2018
No,Male,28.0,United States of America,2018
Yes,Male,39.0,Finland,2018
Yes,Male,31.0,United States of America,2018
Yes,Male,27.0,United States of America,2018
Yes,Male,35.0,United States of America,2018
No,Male,25.0,United States of America,2019
No,Male,51.0,United States of America,2019
No,Male,27.0,United States of America,2019
No,Male,37.0,United States of America,2019
No,Male,46.0,United States of America,2019
No,Female,36.0,United States of America,2019
Yes,Female,39.0,United States of America,2019
Yes,Male,40.0,United Kingdom,2019
No,Male,31.0,United States of America,2019
Yes,Male,37.0,United States of America,2019
Yes,Female,26.0,United States of America,2019
Yes,Male,43.0,Canada,2019
Yes,Male,35.0,United States of America,2019
No,Female,32.0,United States of America,2019
Yes,Male,37.0,United States of America,2019
No,Male,41.0,United States of America,2019
Yes,Female,40.0,United States of America,2019
No,Male,37.0,United States of America,2019
Yes,Male,53.0,United States of America,2019
No,Male,29.0,United States of America,2019
No,Male,37.0,United States of America,2019
No,Female,45.0,United States of America,2019
No,Male,26.0,Netherlands,2019
Yes,Male,28.0,United States of America,2019
Yes,Female,24.0,United States of America,2019
Yes,Male,27.0,United States of America,2019
No,Male,42.0,United States of America,2019
Yes,Other,23.0,United Kingdom,2019
No,Male,34.0,United States of America,2019
No,Male,27.0,United States of America,2019
Yes,Male,31.0,United States of America,2019
Yes,Male,50.0,United States of America,2019
Yes,Male,41.0,United States of America,2019
No,Male,40.0,Croatia,2019
Yes,Male,49.0,United Kingdom,2019
No,Male,37.0,United States of America,2019
Yes,Male,52.0,United States of America,2019
Yes,Male,37.0,United States of America,2019
No,Female,53.0,United States of America,2019
Yes,Male,30.0,United States of America,2019
No,Male,35.0,United States of America,2019
Yes,Male,60.0,Canada,2019
Yes,Female,34.0,United States of America,2019
No,Male,35.0,United States of America,2019
No,Male,34.0,United States of America,2019
No,Male,28.0,United States of America,2019
No,Female,28.0,United States of America,2019
No,Male,24.0,Ghana,2019
No,Male,55.0,United States of America,2019
Yes,Male,32.0,Norway,2019
Yes,Male,33.0,United States of America,2019
Yes,Female,30.0,Portugal,2019
No,Male,30.0,Portugal,2019
Yes,Male,34.0,Portugal,2019
No,Female,36.0,Portugal,2019
No,Male,34.0,Portugal,2019
Yes,Male,40.0,Portugal,2019
No,Male,27.0,Portugal,2019
Yes,Male,47.0,United States of America,2019
Yes,Female,24.0,United States of America,2019
Yes,Male,36.0,Portugal,2019
No,Male,28.0,Portugal,2019
Yes,Male,34.0,United Kingdom,2019
No,Male,28.0,Portugal,2019
Yes,Male,36.0,Portugal,2019
Yes,Male,24.0,Portugal,2019
Yes,Male,32.0,United States of America,2019
No,Male,33.0,United Kingdom,2019
No,Male,39.0,United States of America,2019
Yes,Female,26.0,United States of America,2019
Yes,Female,32.0,United States of America,2019
No,Male,42.0,United Kingdom,2019
Yes,Male,41.0,United States of America,2019
Yes,Male,32.0,Canada,2019
Yes,Female,32.0,United States of America,2019
No,Female,31.0,United States of America,2019
No,Male,33.0,Switzerland,2019
No,Male,30.0,United States of America,2019
Yes,Female,45.0,United States of America,2019
No,Male,30.0,United States of America,2019
No,Male,29.0,Portugal,2019
No,Male,41.0,United States of America,2019
Yes,Female,27.0,United States of America,2019
Yes,Male,42.0,United States of America,2019
No,Male,32.0,United States of America,2019
No,Male,32.0,United States of America,2019
Yes,Female,20.0,United States of America,2019
No,Male,0.0,United States of America,2019
No,Male,38.0,United States of America,2019
Yes,Male,31.0,United States of America,2019
Yes,Male,26.0,United States of America,2019
No,Male,40.0,United States of America,2019
No,Male,30.0,United States of America,2019
Yes,Male,38.0,United States of America,2019
Yes,Male,28.0,United States of America,2019
No,Female,28.0,Pakistan,2019
No,Male,30.0,United States of America,2019
Yes,Other,23.0,United States of America,2019
No,Male,30.0,United States of America,2019
Yes,Female,33.0,United States of America,2019
Yes,Female,53.0,United States of America,2019
Yes,Male,38.0,United States of America,2019
No,Male,40.0,United States of America,2019
No,Male,42.0,United States of America,2019
No,Male,42.0,United States of America,2019
Yes,Male,38.0,Canada,2019
Yes,Other,33.0,United States of America,2019
Yes,Male,35.0,United States of America,2019
Yes,Female,28.0,Turkey,2019
No,Male,42.0,India,2019
Yes,Male,40.0,United States of America,2019
Yes,Female,54.0,United States of America,2019
No,Male,37.0,United States of America,2019
Yes,Female,26.0,United States of America,2019
No,Male,37.0,Brazil,2019
Yes,Female,49.0,United States of America,2019
No,Male,23.0,United States of America,2019
No,Female,42.0,United Kingdom,2019
No,Male,49.0,Netherlands,2019
No,Female,41.0,United Kingdom,2019
Yes,Male,33.0,United Kingdom,2019
Yes,Male,27.0,United States of America,2019
Yes,Male,47.0,United Kingdom,2019
No,Male,28.0,United States of America,2019
Yes,Female,49.0,Canada,2019
No,Male,23.0,United Kingdom,2019
Yes,Other,23.0,United States of America,2019
Yes,Male,29.0,United States of America,2019
No,Male,40.0,United States of America,2019
No,Male,32.0,United States of America,2019
Yes,Female,22.0,United States of America,2019
Yes,Male,28.0,United States of America,2019
No,Female,29.0,United States of America,2019
No,Female,38.0,United States of America,2019
No,Male,30.0,United States of America,2019
Yes,Female,37.0,United States of America,2019
Yes,Female,38.0,United States of America,2019
Yes,Female,51.0,United States of America,2019
Yes,Male,39.0,United States of America,2019
No,Male,22.0,United States of America,2019
Yes,Male,26.0,United States of America,2019
No,Male,42.0,United States of America,2019
No,Male,49.0,United Kingdom,2019
No,Male,48.0,United Kingdom,2019
Yes,Male,25.0,Germany,2019
No,Male,63.0,United States of America,2019
No,Female,30.0,Turkey,2019
No,Male,34.0,Switzerland,2019
No,Male,31.0,Norway,2019
No,Female,29.0,Norway,2019
No,Male,29.0,United States of America,2019
No,Male,32.0,United States of America,2019
No,Male,28.0,Norway,2019
Yes,Male,36.0,United States of America,2019
No,Female,28.0,United States of America,2019
Yes,Male,36.0,United States of America,2019
No,Male,40.0,United States of America,2019
No,Male,27.0,United States of America,2019
No,Female,28.0,Norway,2019
Yes,Male,34.0,United States of America,2019
Yes,Male,34.0,United States of America,2019
Yes,Female,27.0,United States of America,2019
Yes,Female,44.0,United States of America,2019
No,Male,36.0,Mexico,2019
Yes,Female,31.0,United States of America,2019
Yes,Female,26.0,United States of America,2019
Yes,Male,39.0,United States of America,2019
Yes,Female,36.0,United States of America,2019
Yes,Female,25.0,United States of America,2019
No,Male,47.0,Switzerland,2019
No,Male,38.0,United Kingdom,2019
Yes,Male,39.0,United States of America,2019
Yes,Male,38.0,United States of America,2019
Yes,Female,23.0,Italy,2019
Yes,Male,32.0,United States of America,2019
Yes,Male,33.0,United States of America,2019
No,Female,38.0,New Zealand,2019
No,Male,42.0,United States of America,2019
Yes,Female,39.0,United States of America,2019
No,Male,30.0,Spain,2019
No,Male,39.0,Germany,2019
No,Male,50.0,Italy,2019
No,Other,43.0,Portugal,2019
Yes,Male,53.0,United States of America,2019
No,Male,35.0,United States of America,2019
Yes,Female,27.0,Canada,2019
No,Female,24.0,Canada,2019
Yes,Other,29.0,United States of America,2019
Yes,Female,40.0,Ireland,2019
No,Male,39.0,Canada,2019
No,Male,28.0,Hong Kong,2019
No,Male,30.0,United States of America,2019
Yes,Female,29.0,United States of America,2019
No,Male,24.0,United States of America,2019
No,Female,25.0,United States of America,2019
No,Male,45.0,United Kingdom,2019
Yes,Male,37.0,United States of America,2019
No,Male,22.0,United States of America,2019
Yes,Female,35.0,United States of America,2019
No,Male,50.0,United States of America,2019
Yes,Male,45.0,United States of America,2019
No,Male,40.0,United Kingdom,2019
No,Female,38.0,Pakistan,2019
Yes,Male,37.0,United States of America,2019
No,Female,28.0,United States of America,2019
No,Male,25.0,United States of America,2019
No,Male,25.0,India,2019
Yes,Male,49.0,Canada,2019
No,Other,19.0,Brazil,2019
No,Male,31.0,Brazil,2019
Yes,Male,30.0,Brazil,2019
No,Male,39.0,Brazil,2019
Yes,Male,29.0,Brazil,2019
Yes,Male,32.0,Brazil,2019
No,Male,41.0,Brazil,2019
No,Female,27.0,Brazil,2019
Yes,Male,27.0,United States of America,2019
No,Male,36.0,India,2019
No,Female,28.0,United States of America,2019
Yes,Female,27.0,United States of America,2019
No,Male,25.0,India,2019
No,Female,30.0,United States of America,2019
No,Male,45.0,United States of America,2019
No,Female,26.0,United States of America,2019
Yes,Female,32.0,United States of America,2019
Yes,Female,43.0,United States of America,2019
No,Other,51.0,United States of America,2019
Yes,Male,30.0,United States of America,2019
No,Other,48.0,United States of America,2019
Yes,Female,28.0,United States of America,2019
No,Female,26.0,United States of America,2019
Yes,Male,37.0,Estonia,2019
No,Female,42.0,United Kingdom,2019
No,Male,34.0,United States of America,2019
No,Female,35.0,India,2019
No,Male,28.0,Mexico,2019
No,Male,26.0,India,2019
No,Female,34.0,India,2019
Yes,Female,34.0,United States of America,2019
No,Male,41.0,United States of America,2019
Yes,Female,42.0,United States of America,2019
Yes,Female,30.0,United States of America,2019
Yes,Other,46.0,United States of America,2019
Yes,Male,41.0,India,2019
No,Male,41.0,Estonia,2019
Yes,Male,25.0,United Kingdom,2019
No,Other,27.0,Germany,2019
No,Female,47.0,United States of America,2019
Yes,Male,24.0,United States of America,2019
Yes,Male,40.0,United States of America,2019
Yes,Male,37.0,United States of America,2019
No,Male,38.0,United States of America,2019
No,Male,47.0,United States of America,2019
Yes,Female,30.0,United States of America,2019
Yes,Female,38.0,United States of America,2019
Yes,Male,42.0,Canada,2019
No,Male,39.0,Greece,2019
No,Male,42.0,United States of America,2019
Yes,Male,47.0,United States of America,2019
Yes,Male,29.0,Poland,2019
Yes,Male,55.0,United States of America,2019
No,Other,34.0,United States of America,2019
Yes,Male,45.0,Japan,2019
No,Female,23.0,India,2019
No,Female,22.0,United States of America,2019
No,Female,42.0,United States of America,2019
No,Female,26.0,Brazil,2019
No,Female,31.0,United States of America,2019
No,Male,27.0,India,2019
No,Female,30.0,India,2019
Yes,Female,24.0,United States of America,2019
No,Male,26.0,United States of America,2020
No,Male,32.0,India,2020
No,Male,34.0,United States of America,2020
Yes,Female,44.0,United States of America,2020
No,Male,33.0,India,2020
No,Male,38.0,Philippines,2020
No,Male,45.0,United States of America,2020
Yes,Female,27.0,India,2020
No,Male,21.0,Sri Lanka,2020
No,Female,30.0,United States of America,2020
No,Male,44.0,India,2020
Yes,Male,32.0,Brazil,2020
No,Female,39.0,India,2020
Yes,Female,27.0,Poland,2020
Yes,Male,34.0,United States of America,2020
No,Male,30.0,Taiwan,2020
No,Male,50.0,India,2020
Yes,Male,27.0,United States of America,2020
No,Male,28.0,United Kingdom,2020
No,Female,27.0,India,2020
No,Male,34.0,United States of America,2020
No,Male,42.0,India,2020
No,Female,28.0,India,2020
Yes,Male,36.0,United States of America,2020
Yes,Male,41.0,India,2020
Yes,Male,30.0,United States of America,2020
No,Male,34.0,Australia,2020
No,Female,23.0,Germany,2020
Yes,Male,58.0,United States of America,2020
No,Male,40.0,Netherlands,2020
No,Male,32.0,Chile,2020
No,Male,30.0,Portugal,2020
Yes,Female,33.0,United States of America,2020
No,Female,22.0,Netherlands,2020
No,Female,30.0,United States of America,2020
No,Male,44.0,United States of America,2020
Yes,Male,30.0,United States of America,2020
Yes,Male,39.0,United States of America,2020
Yes,Male,48.0,India,2020
No,Male,26.0,United States of America,2020
Yes,Female,28.0,Germany,2020
No,Male,36.0,United States of America,2020
No,Male,37.0,Canada,2020
Yes,Male,42.0,United States of America,2020
Yes,Male,31.0,Brazil,2020
No,Male,40.0,Spain,2020
Yes,Male,50.0,United States of America,2020
No,Female,31.0,India,2020
Yes,Female,29.0,Canada,2020
No,Male,40.0,India,2020
No,Female,33.0,Canada,2020
No,Male,29.0,Sweden,2020
No,Female,27.0,United States of America,2020
Yes,Male,36.0,United States of America,2020
Yes,Female,33.0,United States of America,2020
Yes,Male,42.0,Canada,2020
No,Male,31.0,United Kingdom,2020
Yes,Female,35.0,Mongolia,2020
Yes,Male,46.0,United States of America,2020
Yes,Female,54.0,United States of America,2020
No,Male,33.0,India,2020
No,Female,40.0,India,2020
No,Female,23.0,Serbia,2020
No,Male,32.0,United States of America,2020
Yes,Female,26.0,United States of America,2020
No,Male,30.0,Germany,2020
No,Male,44.0,United States of America,2020
No,Male,37.0,United States of America,2020
No,Male,37.0,India,2020
No,Female,29.0,Brazil,2020
No,Male,39.0,United States of America,2020
No,Male,44.0,United States of America,2020
Yes,Male,23.0,Egypt,2020
No,Female,22.0,United States of America,2020
No,Female,31.0,United States of America,2020
Yes,Male,59.0,United States of America,2020
Yes,Female,48.0,United States of America,2020
No,Female,30.0,India,2020
Yes,Male,23.0,Germany,2020
No,Male,27.0,United States of America,2020
No,Female,53.0,United States of America,2020
Yes,Male,32.0,United States of America,2020
No,Male,34.0,India,2020
No,Male,29.0,India,2020
No,Male,46.0,Brazil,2020
Yes,Male,28.0,Iceland,2020
Yes,Male,27.0,Colombia,2020
No,Female,24.0,Philippines,2020
Yes,Female,32.0,United States of America,2020
Yes,Male,26.0,United States of America,2020
No,Male,45.0,United States of America,2020
Yes,Female,21.0,United States of America,2020
No,Female,44.0,India,2020
No,Male,47.0,India,2020
No,Male,40.0,Brazil,2020
No,Female,25.0,Malaysia,2020
Yes,Female,24.0,United States of America,2020
No,Female,26.0,Indonesia,2020
No,Male,32.0,India,2020
No,Female,33.0,India,2020
Yes,Female,42.0,United States of America,2020
Yes,Male,46.0,United Kingdom,2020
No,Male,30.0,United States of America,2020
No,Male,24.0,India,2020
No,Male,42.0,India,2020
No,Male,28.0,India,2020
Yes,Female,27.0,United States of America,2020
No,Male,62.0,United States of America,2020
No,Male,34.0,Turkey,2020
No,Male,38.0,Spain,2020
No,Male,35.0,United States of America,2020
Yes,Male,32.0,United Kingdom,2020
No,Female,32.0,United States of America,2020
No,Female,25.0,Sri Lanka,2020
No,Female,24.0,France,2020
Yes,Male,24.0,Bangladesh,2020
Yes,Female,48.0,United States of America,2020
Yes,Male,24.0,Canada,2020
No,Male,32.0,Canada,2020
No,Male,21.0,Ireland,2020
No,Male,34.0,United States of America,2020
Yes,Male,25.0,Canada,2020
No,Male,39.0,United States of America,2020
No,Male,25.0,India,2020
Yes,Male,39.0,United States of America,2020
No,Male,20.0,United Kingdom,2020
Yes,Female,40.0,United Kingdom,2020
No,Male,31.0,India,2020
No,Male,53.0,United States of America,2020
Yes,Female,23.0,Philippines,2020
No,Male,34.0,United States of America,2020
No,Male,43.0,Canada,2020
No,Female,28.0,United States of America,2021
No,Male,41.0,Brazil,2021
Yes,Male,35.0,Brazil,2021
No,Female,35.0,Canada,2021
No,Female,30.0,United States of America,2021
Yes,Female,34.0,United States of America,2021
Yes,Female,23.0,Germany,2021
No,Female,19.0,India,2021
No,Male,25.0,Germany,2021
No,Female,40.0,Germany,2021
Yes,Female,26.0,Macedonia,2021
No,Male,25.0,Macedonia,2021
No,Female,25.0,Slovenia,2021
No,Male,22.0,Albania,2021
No,Male,27.0,Macedonia,2021
No,Female,25.0,Slovenia,2021
No,Female,25.0,Slovenia,2021
No,Male,23.0,Slovenia,2021
No,Female,27.0,Slovenia,2021
No,Male,33.0,United States of America,2021
No,Male,22.0,India,2021
No,Female,45.0,Austria,2021
No,Female,25.0,Macedonia,2021
No,Female,22.0,India,2021
Yes,Female,36.0,United States of America,2021
Yes,Other,42.0,United States of America,2021
Yes,Female,51.0,United States of America,2021
Yes,Female,27.0,United States of America,2021
No,Male,19.0,United States of America,2021
Yes,Male,25.0,Kenya,2021
Yes,Male,39.0,United States of America,2021
No,Male,47.0,Australia,2021
Yes,Female,36.0,United States of America,2021
No,Male,57.0,Brazil,2021
No,Male,34.0,Brazil,2021
No,Male,26.0,Brazil,2021
Yes,Female,24.0,United States of America,2021
Yes,Female,26.0,United States of America,2021
No,Female,25.0,Brazil,2021
Yes,Male,31.0,Brazil,2021
Yes,Male,28.0,India,2021
Yes,Female,27.0,United States of America,2021
Yes,Male,36.0,United States of America,2021
Yes,Female,40.0,United States of America,2021
No,Male,27.0,United States of America,2021
No,Female,25.0,Vietnam,2021
Yes,Male,31.0,United States of America,2021
No,Female,35.0,India,2021
No,Male,22.0,India,2021
No,Male,42.0,United States of America,2021
No,Male,38.0,India,2021
Yes,Female,38.0,United States of America,2021
No,Other,31.0,Brazil,2021
No,Male,21.0,Indonesia,2021
No,Female,30.0,Switzerland,2021
Yes,Male,33.0,United States of America,2021
Yes,Male,43.0,United States of America,2021
No,Male,21.0,Finland,2021
No,Male,22.0,United States of America,2021
No,Female,23.0,India,2021
Yes,Female,21.0,United Kingdom,2021
Yes,Male,49.0,United States of America,2021
Yes,Female,35.0,United States of America,2021
Yes,Male,38.0,Estonia,2021
Yes,Male,30.0,India,2021
Yes,Male,41.0,United States of America,2021
No,Male,36.0,Colombia,2021
Yes,Female,23.0,United States of America,2021
No,Male,25.0,Netherlands,2021
No,Male,32.0,Israel,2021
No,Male,45.0,Canada,2021
No,Male,23.0,Bangladesh,2021
No,Male,21.0,India,2021
No,Male,51.0,United States of America,2021
No,Female,21.0,India,2021
Yes,Male,38.0,United States of America,2021
Yes,Female,31.0,United States of America,2021
Yes,Female,24.0,United Kingdom,2021
Yes,Male,29.0,United States of America,2021
No,Female,27.0,India,2021
No,Female,25.0,United States of America,2021
Yes,Female,47.0,United States of America,2021
Yes,Female,30.0,United States of America,2021
No,Female,33.0,United States of America,2021
No,Other,23.0,Australia,2021
Yes,Male,37.0,United States of America,2021
Yes,Female,30.0,United States of America,2021
Yes,Other,36.0,United States of America,2021
No,Male,42.0,Greece,2021
Yes,Female,40.0,United States of America,2021
Yes,Female,23.0,China,2021
No,Male,45.0,United States of America,2021
Yes,Male,30.0,India,2021
No,Female,34.0,Germany,2021
No,Male,45.0,United States of America,2021
Yes,Female,30.0,United States of America,2021
No,Female,22.0,India,2021
No,Male,37.0,Italy,2021
Yes,Male,35.0,United States of America,2021
Yes,Male,46.0,United States of America,2021
No,Male,33.0,Germany,2021
No,Male,38.0,Slovenia,2021
